Reference,Title,Year,Month,Max,ESTIMATION,Min,Material,Data,Focus,ErrorMetric,Notes
Hallström et al.,Phylogenomic data analyses provide evidence that Xenarthra and Afrotheria are sister groups.,2007,Feb,10,8.6,6.5,genome,1 tree,N,Bayes,Using assumptions from outgroups with better known fossil records always tends to give bigger estimations to Homo/chimp divergence. Results taken from Fig. 6
Kitazoe et al.,Robust time estimation reconciles views of the antiquity of placental mammals.,2007,Apr,7.6,6.7,5.8,mtDNA genome,1 tree,N,SE,Table S2 includes it. Node 63 of Figure 1.
Hallström and Janke,Resolution among major placental mammal interordinal relationships with genome data imply that speciation influenced their earliest radiations.,2008,May,8.01,7.76,7.51,genome,1 tree,N,SE,Time t in Table 3.  R8s aa and nt averaged because they are so similar. The 2 SE values were summed.
Hallström and Janke,Resolution among major placental mammal interordinal relationships with genome data imply that speciation influenced their earliest radiations.,2008,May,NA,9,NA,genome,1 tree,N,None,"Value 9 is congruent with most models, but no SE provided?"
Kang et al.,Bioinformatics analysis of lactoferrin gene for several species.,2008,Jun,NA,6,NA,DNA,1 tree,N,None," ""The smallest Dxy (0.010) and divergence time (about 6 Mya) showed the closest relationship between Homo sapiens and Pan troglodytes"""
Zinner et al.,Baboon phylogeny as inferred from complete mitochondrial genomes.,2009,Apr,7.01,6.43,5.85,mtDNA genome,1 tree,N,Bayes,"Brown 1 cyt b, note: repeated in 2012 paper"
Hodgson et al.,"Successive radiations, not stasis, in the South American primate fauna.",2009,Apr,7.9,6.5,5.2,mtDNA genome,1 tree,N,Bayes,Values obtained from Figure 2. But notice how Figure 3 allows from 5 up to 30 mya for homo-pan.
Fritz et al.,"Geographical variation in predictors of mammalian extinction risk: big is bad, but only in the tropics.",2009,May,NA,8.8,NA,DNA,1 tree,N,None,"Appendix S1 The phylogeny of 5020 extant mammal species // (Homo_sapiens:8.8,(Pan_paniscus:4.5,Pan_troglodytes:4.5):4.3)"
Matsui et al.,Molecular phylogeny and evolution of prosimians based on complete sequences of mitochondrial DNAs.,2009,Jul,9.1,6.9,5.1,mtDNA genome,1 tree,N,Bayes,"""The estimate for human/chimpanzee divergence date was 6.2±0.8 (4.7–7.8) mya (protein) / 6.9± 1.0 (5.1–9.1) mya (rRNA)"""
Dutheil et al.,Ancestral Population Genomics: The Coalescent Hidden Markov Model Approach,2009,Sep,4.68,4.38,4.08,genome,1 tree,Y,SE,"Recalibrated in 2012 by Langergraber et al, see below. This method is problematic (I'm only showing meta-model average here, but few of the outputs were very low,e.g. 0.65 Ma and 1.97 Ma fo Human-Chimp split). Confidence interval converted to standard error."
Chatterjee et al.,Estimating the phylogeny and divergence times of primates using a supermatrix approach,2009,Oct,9.7,8.1,6.5,mtDNA,,Y,Bayes,Supermatrix
Goldberg et al.,"Coinfection of Ugandan red colobus (Procolobus [Piliocolobus] rufomitratus tephrosceles) with novel, divergent delta-, lenti-, and spumaretroviruses.",2009,Nov,7.16,5.66,3.97,virogenes,1 tree,Y,Bayes,Data in Fig 4
Fabre et al.,Patterns of macroevolution among Primates inferred from a supermatrix of mitochondrial and nuclear DNA.,2009,Dec,8.41,7.62,6.83,mtDNA + DNA,1 tree,Y,SE,Table 3. CI (9.44-6.33) converted to SE.
Stone et al.,More reliable estimates of divergence times in Pan using complete mtDNA sequences and accounting for population structure.,2010,Oct,5.43,4.7,4.2,mtDNA,1 tree,Y,Bayes,"""are obtained with the human/chimpanzee calibration fixed at 6.5 Ma. All other times are estimated using gorilla/human þ chimpanzee (10.0–6.5 Ma) and human/chimpanzee (6.5 –4.2 Ma)."""
Babb et al.,AVPR1A sequence variation in monogamous owl monkeys (Aotus azarai) and its implications for the evolution of platyrrhine social behavior.,2010,Oct,6.65,6.29,5.93,DNA,1 tree,N,Bayes,Extracted from Fig. 6
Chan et al.,Mitochondrial genome sequences effectively reveal the phylogeny of Hylobates gibbons.,2010,Dec,7.26,6.35,5.41,mtDNA genome,1 tree,N,Bayes,Table 1
Bjork et al.,Evolutionary history of chimpanzees inferred from complete mitochondrial genomes.,2011,Jan,6.367,5.758,5.216,mtDNA genome,1 tree,Y,Bayes,Table 2 Bootstrap
Wilkinson et al.,Dating primate divergences through an integrated analysis of palaeontological and molecular data.,2011,Jan,9.6,7.5,5.7,total evidence dating,1 tree,Y,Bayes,Table 4 - Poisson model
Wilkinson et al.,Dating primate divergences through an integrated analysis of palaeontological and molecular data.,2011,Jan,9.7,7.6,5.8,total evidence dating,1 tree,Y,Bayes,Table 4 - K-T Crash model
Wilkinson et al.,Dating primate divergences through an integrated analysis of palaeontological and molecular data.,2011,Jan,10,7.9,6,total evidence dating,1 tree,Y,Bayes,Table 4 - Binomial model
Wilkinson et al.,Dating primate divergences through an integrated analysis of palaeontological and molecular data.,2011,Jan,9.2,7.2,5.5,total evidence dating,1 tree,Y,Bayes,Table 4 - Gamma model
Wilkinson et al.,Dating primate divergences through an integrated analysis of palaeontological and molecular data.,2011,Jan,9.1,6.9,5.3,total evidence dating,1 tree,Y,Bayes,Table 4 - Bounds model
Xia et al.,A distance-based least-square method for dating speciation events.,2011,Feb,9.198,7.89,6.582,genome,1 tree,Y,SE,"There is also a Bayesian estimate of [5.5629, 9.3534]"
Hobolth et al.,"Incomplete lineage sorting patterns among human, chimpanzee, and orangutan suggest recent orangutan speciation and widespread selection",2011,Mar,4.4,4.22,4.2,genome,1 tree,Y,SE,"Recalibrated in 2012 by Langergraber et al, see below. Data available at Supplementary Information"
Israfil et al.,"Unresolved molecular phylogenies of gibbons and siamangs (Family: Hylobatidae) based on mitochondrial, Y-linked, and X-linked loci indicate a rapid Miocene radiation or sudden vicariance event.",2011,Mar,6.5,6.15,5.8,mtDNA + DNA,1 tree,Y,Bayes,"Calibration=6-8 Ma is a bit non-sensical considering they cite all candidate hominins, i.e., shouldn't 7 be a minimum…? How can they calculate a maximum? Checked Supp. Mat., no more info."
Roos et al.,Nuclear versus mitochondrial DNA: evidence for hybridization in colobine monkeys.,2011,Mar,7.01,6.39,5.85,DNA,1 tree,Y,Bayes,Two models available
Roos et al.,Nuclear versus mitochondrial DNA: evidence for hybridization in colobine monkeys.,2011,Mar,6.7,6.18,5.62,mtDNA,1 tree,Y,Bayes,Table 1
Perelman et al.,A molecular phylogeny of living primates.,2011,Mar,7.96,6.6,5.4,genome,1 tree,Y,Bayes,"table 3, node 73, 7.96, 6.6, 5.4"
Meyer et al.,"Mitochondrial phylogeny of leaf monkeys (genus Presbytis, Eschscholtz, 1821) with implications for taxonomy and conservation.",2011,May,7.09,6.5,5.92,mtDNA,1 tree,Y,Bayes,Table 3
Chiou et al.,Pleistocene diversification of living squirrel monkeys (Saimiri spp.) inferred from complete mitochondrial genome sequences.,2011,Jun,7.89,6.7,4.88,mtDNA genome,1 tree,N,Bayes,They only present in text ranges for Saimiri primates. CrI for Pan/Homo estimated from image.
Jameson et al.,Genomic data reject the hypothesis of a prosimian primate clade.,2011,Sep,7.8,7.2,7,genome,1 tree,N,Bayes,"Credibility intervals, notice how log-normal they are, showing the assumption used for calibration has been probably biased to result into lower values."
Scally et al.,Insights into hominid evolution from the gorilla genome sequence,2012,Mar,3.73,3.69,3.65,genome,5 trees,Y,SE,"Recalibrated in 2012 by Langergraber et al, see below. constant µ = 1.0 x 10-9bp-1y-1"
Scally et al.,Insights into hominid evolution from the gorilla genome sequence,2012,Mar,6.21,6.15,6.09,genome,5 trees,Y,SE,constant µ = 0.6 x 10-9bp-1y-1 (ALL 5 MODELS AVAILABEL IN Table ST4.7)
Scally et al.,Insights into hominid evolution from the gorilla genome sequence,2012,Mar,7.46,7.38,7.3,genome,5 trees,Y,SE,constant µ = 0.5 x 10-9 bp-1 y-1
Scally et al.,Insights into hominid evolution from the gorilla genome sequence,2012,Mar,5.6,5.54,5.48,genome,5 trees,Y,SE,linear change in µ from 0.94 to 0.6 x 10-9 bp-1 y-1 over 19 My
Scally et al.,Insights into hominid evolution from the gorilla genome sequence,2012,Mar,6.19,6.13,6.07,genome,5 trees,Y,SE,linear change in µ from 1.03 to 0.5 x 10-9 bp-1 y-1 over 19 My
Schrago et al.,Chronology of deep nodes in the neotropical primate phylogeny: insights from mitochondrial genomes.,2012,Apr,9.246,7.18,5.672,mtDNA genome,1 tree,Y,Bayes,"Extracted from figure. ""The Gorilla split was enforced to be older than 7.25 Ma and, finally, the Homo/Pan divergence was constrained between 5.7 Ma and 10.0 Ma"". Why 5.7? A bit arbitrary when Orrorin and S. tchadensis remains with datings at 6 Ma and older are known."
Psouni et al.,Impact of carnivory on human development and evolution revealed by a new unifying model of weaning in mammals.,2012,Apr,NA,7.3,NA,mtDNA genome,1 tree,N,None,Value from timetree.org
Crottini et al.,Vertebrate time-tree elucidates the biogeographic pattern of a major biotic change around the K-T boundary in Madagascar.,2012,Apr,NA,9.9,NA,genome,1 tree,N,None,Value from timetree.org
Prüfer et al.,The bonobo genome compared with the chimpanzee and human genomes,2012,Jun,4.52,4.5,4.48,genome,1 tree,Y,SE,"Recalibrated in 2012 by Langergraber et al, see below. (Table S8.1: Confidence intervals)"
Liu et al.,Bioinformatics Analysis of Melanocortin-1 Receptor Gene for Silver Fox and Other Species,2012,Jul,NA,10,NA,DNA,1 tree,N,None,14.8 Mya in timetree dataset? In the paper it mentions 10 Mya instead… Can't find any bound either. ----- constant µ = 0.85 x 10-9 bp-1 y-1
dos Reis et al.,Phylogenomic datasets provide both precision and accuracy in estimating the timescale of placental mammal phylogeny.,2012,Aug,8.8,8.2,7.6,genome,4 trees,N,Bayes,"combined, 14 K + Mit. Bayesian method used this values as priors 7.7 (5.7, 10.0)"
dos Reis et al.,Phylogenomic datasets provide both precision and accuracy in estimating the timescale of placental mammal phylogeny.,2012,Aug,9.4,8.7,8.1,genome,4 trees,N,Bayes,"14 K, Atlantogenata. Bayesian method used this values as priors 7.7 (5.7, 10.0)"
dos Reis et al.,Phylogenomic datasets provide both precision and accuracy in estimating the timescale of placental mammal phylogeny.,2012,Aug,9.2,8.5,8,genome,4 trees,N,Bayes,"14 K, Epitheria. Bayesian method used this values as priors 7.7 (5.7, 10.0)"
dos Reis et al.,Phylogenomic datasets provide both precision and accuracy in estimating the timescale of placental mammal phylogeny.,2012,Aug,9,8.4,7.8,genome,4 trees,N,Bayes,"14 K, Exafroplacentalia. Bayesian method used this values as priors 7.7 (5.7, 10.0)"
Langergraber et al.,Generation times in wild chimpanzees and gorillas suggest earlier divergence times in great ape and human evolution,2012,Sep,11.03,8.905,6.78,RECALIBRATION,4 trees,Y,Bayes,Recalibration of Scally et al. 2012 - Original estimate 3.69
Langergraber et al.,Generation times in wild chimpanzees and gorillas suggest earlier divergence times in great ape and human evolution,2012,Sep,12.62,10.19,7.76,RECALIBRATION,4 trees,Y,Bayes,Recalibration of Hobolth et al. 2011  - Original estimate 4.22
Langergraber et al.,Generation times in wild chimpanzees and gorillas suggest earlier divergence times in great ape and human evolution,2012,Sep,13.45,10.86,8.27,RECALIBRATION,4 trees,Y,Bayes,Recalibration of Prüfer et al. 2012 - Original estimate 4.5
Langergraber et al.,Generation times in wild chimpanzees and gorillas suggest earlier divergence times in great ape and human evolution,2012,Sep,13.09,10.57,8.05,RECALIBRATION,4 trees,Y,Bayes,Recalibration of Dutheil et al. 2009 - Original estimate 4.38
Soria-Carrasco et al.,Diversification rates and the latitudinal gradient of diversity in mammals.,2012,Oct,9.21,6.34,3.83,mtDNA + DNA,1 tree,N,Bayes,Supplemental material Figure S1. Bayesian phylogenetic reconstruction of mammals used to obtain secondary calibrations. Fossil calibrations used are indicated on the tree with numbers(see table S3). Grey bars on each node represent the 95% highest posterior density(HPD) interval. Bayesian posterior probabilities (BPP) are shown only for clades with asupport below 1.
Springer et al.,Macroevolutionary Dynamics and Historical Biogeography of Primate Diversification Inferred from a Species Supermatrix,2012,Nov,8.935,6.6625,4.39,mtDNA genome,,Y,SE,"SE of this study obtained in Finstermeier et al. 2013, since this paper only has CrI."
Zinner et al.,Baboon phylogeny as inferred from complete mitochondrial genomes.,2013,Jan,6.78,6.19,5.59,mtDNA genome,1 tree,N,Bayes,"Table 2 - mtDNA2, other estimate is not repeated here because it is in a 2009 paper by same authors."
Soares et al.,Evaluating purifying selection in the mitochondrial DNA of various mammalian species.,2013,Mar,8.6,6.9,5.5,mtDNA,1 tree,N,Bayes,Figure 5
Schrago and Voloch,The precision of the hominid timescale estimated by relaxed clock methods.,2013,Apr,8.9,7.4,6,genome,1 tree,Y,Bayes,"Table 3 - ""With Nomascus and Gorilla"""
Davies et al.,The evolution of bat vestibular systems in the face of potential antagonistic selection pressures for flight and echolocation.,2013,Apr,NA,10.7041,NA,genome,1 tree,N,None,Got value from .newick file
Perez et al.,"Divergence Times and the Evolutionary Radiation of New World Monkeys (Platyrrhini, Primates): An Analysis of Fossil and Molecular Data",2013,Jun,8.87,7.43,6.33,genome,,N,Bayes,7.43 (6.33–8.87)
Finstermeier et al.,A Mitogenomic Phylogeny of Living Primates,2013,Jul,7.09,6.04,4.95,mtDNA genome,1 tree,Y,Bayes,Table S3 - mtDNA1
Finstermeier et al.,A Mitogenomic Phylogeny of Living Primates,2013,Jul,6.89,5.83,4.75,mtDNA genome,1 tree,Y,Bayes,Table S3 - mtDNA3
Prado-Martinez et al.,Great ape genetic diversity and population history,2013,Jul,NA,7.53,NA,genome,2 trees,Y,None,Table S5 - μ = 0.5e-9 (mut/(bp·year)) 
Montagnon et al.,"Strepsirhine Divergence Dates Estimated from Mitochondrial Gene Sequences, and the Status of Daubentonia madagascariensis",2013,Dec,9.68,8.9,8.2,mtDNA,2 trees,N,Bayes,Divergence dates estimated using the cytochrome b gene and four calibration points. Light gray box indicates the standard deviation for the divergence date; dark gray triangle indicates the earliest divergence date for a family. The dashed rectangle indicates the time windowduring which subaerial land was present along the Davie Fracture Zone
Montagnon et al.,"Strepsirhine Divergence Dates Estimated from Mitochondrial Gene Sequences, and the Status of Daubentonia madagascariensis",2013,Dec,12.44,11.6,10.21,mtDNA,2 trees,N,Bayes,Estimation of divergence dates using the concatenated ND gene sequences and four calibration points
Pozzi et al.,Primate phylogenetic relationships and divergence dates inferred from complete mitochondrial genomes.,2014,Jun,8.76,7.65,6.73,mtDNA genome,1 tree,Y,Bayes,Supplementary Information Table C1.
Venn et al.,Strong male bias drives germline mutation in chimpanzees,2014,Jun,14.179,12.71,11.247,genome,,Y,Bayes,"""implying an average time to the most common ancestor of 13 million years"" estimates from table S11"
Das et al.,Complete mitochondrial genome sequence of the Eastern gorilla (Gorilla beringei) and implications for african ape biogeography.,2014,Sep,7.058,5.983,5.2,mtDNA genome,1 tree,Y,Bayes,"""We offset these distributions at the internal node of human–chimpanzee split by 5 Myr to ensure that the median values of the distribution approximates the expected 6 Mya split """
Rieux et al.,Improved calibration of the human mitochondrial clock using ancient genomes,2014,Oct,5.448,4.14,2.991,mtDNA genome,1 tree,Y,Bayes,
Di Fiore et al.,"The rise and fall of a genus: Complete mtDNA genomes shed light on the phylogenetic position of yellow-tailed woolly monkeys, Lagothrix flavicauda, and on the evolutionary history of the family Atelidae (Primates: Platyrrhini).",2015,Jan,6.53,5.52,4.92,mtDNA,1 tree,Y,Bayes,"""MRCA Homo-Pan (Hominini) 5.0-8.0 Lognormal""  lognormal is usually justified as allowing for older geological values, however it simultaneous biases estimates towards younger values (i.e., gives more credibility to values on the left tail)."
Hedges et al.,Tree of Life Reveals Clock-Like Speciation and Diversification,2015,Mar,6.9,6.7,6.5,mtDNA,1 tree,N,SE,"Figure 2, has to be SE. ""mean ± standard error (among studies) is shown"""
Padhi et al.,"A testis-specific gene within a widely expressed gene: Contrasting evolutionary patterns of two differentially expressed mammalian proteins encoded by a single gene, CAMK4.",2015,Dec,8.53,6.17,4.42,DNA,1 tree,N,Bayes,Figure 1
Herrera and Dávalos,Phylogeny and Divergence Times of Lemurs Inferred with Recent and Ancient Fossils in the Tree,2016,Mar,16.2,10.4,6.49,total evidence dating,,N,Bayes,"fbd369agerange_gooddates.tre, some of the figures also show FBD models estimating the Homo-Pan divergence at around 12 Ma, but I could not find that info anywhere in the tabels or .tre files"
Moorjani et al.,Variation in the molecular clock of primates,2016,Sep,9.3,7.9,6.5,genome,2 trees,Y,SE,"""human–chimpanzee split time in the range of 6.5–9.3 Mya, and human–gorilla split time in the range of 9.4–12.2 Mya"""
Moorjani et al.,Variation in the molecular clock of primates,2016,Sep,12.5,12.1,11.7,genome,2 trees,Y,SE,"Same paper as above, but he presents two results assuming different effective population sizes… ""Assuming the peryear mutation rate for CpG transitions obtained in ref. 10 (SIAppendix, Note S1), we estimate that humans diverged from chimpanzees ∼12.1 Mya and from gorillas ∼15.1 Mya"""
Antonelli et al.,"Toward a Self-Updating Platform for Estimating Rates of Speciation and Migration, Ages, and Relationships of Taxa.",2017,Mar,5.96,5.8,5.58,genome,2 trees,N,SE,This is a mean of other papers? It will amplify the bias towards lower values that we have been observing up until now. There has to be a better approach than a simple average.
Barba-Montoya et al.,Comparison of different strategies for using fossil calibrations to generate the time prior in Bayesian molecular clock dating,2017,Sep,9.95,7.95,5.95,genome,,N,Bayes,"Figure 7 and 8, Mr Bayes strategy 2 extracted"
dos Reis et al.,Using Phylogenomic Data to Explore the Effects of Relaxed Clocks and Calibration Strategies on Divergence Time Estimation: Primates as a Test Case,2018,Jul,8.4,7.85,7.3,genome,,Y,Bayes,Figure 3
Besenbacher et al.,Direct estimation of mutations in great apes reconciles phylogenetic dating,2019,Feb,11.48,10.88,10.27,genome,,Y,SE,"For speciation 95% Confidence intervals 6.6 (5.9–7.3) converted to SE… Divergence is said to be 10.88 but no intervals are provided, so I did a transformation from the speciation SE as a proxy value. (Assuming proportional variance)."
dos Reis and Yang,Bayesian Molecular Clock Dating Using Genome-Scale Datasets,2019,Jul,9.81,8.52,7.58,genome,,Y,Bayes,Page 320
Zhang et al.,Conserved sequences identify the closest living relatives of primates,2019,Nov,7.3,6.9,6,genome,,N,Bayes,Figure 3
Yaxley and Foley,Reconstructing the ancestral phenotypes of great apes and humans (Homininae) using subspecies-level phylogenies,2019,Dec,NA,7.05,NA,genome,,Y,None,"The clock model was calibrated by the divergence date of the human and chimpanzee–bonobo lineages; the prior for the calibration took the form of a log-normal distribution, with a lower hard bound of 6 Myr, a mean of 7 Myr and no upper bound. This forces the estimate to *approximate* to 7! No intervals provided..."
Hubisz et al.,Mapping gene flow between ancient hominins through demography-aware inference of the ancestral recombination graph,2020,Aug,NA,13,NA,genome,,N,None,"Focus on recent hominins (denisova, neanderthal, etc.), how was the 13 estimated? Not explicit…"
Roos et al.,"Mitogenomic phylogeny of the Asian colobine genus Trachypithecus with special focus on Trachypithecus phayrei (Blyth, 1847) and description of a new species",2020,Nov,6.14,5.78,5.5,mtDNA,,N,Bayes,"S4 table, line 8"
Püschel et al.,Divergence-time estimates for hominins provide insight into encephalization and body mass trends in human evolution,2021,Apr,8.59,7.5,6.61,total evidence dating,,Y,Bayes,"""The common ancestor of hominins and P. troglodytes (node 2) was dated at around 7.5 Ma with an uncertainty range of 8.59 – 6.61 Ma considering the 95% highest posterior density intervals (HPD) of all the trees"""
